"File_ccode","Rep_ccode","FileCountry","RepCountry","Year","FileToRep_Flow","FileToRep_Stock"
10,1,"Mexico","United States",2015,1116,32232.3445
10,2,"Mexico","Europe",2015,2905.08503962043,38362.0546302541
10,3,"Mexico","Japan",2015,-2.70554442048897,2.64954356846473
10,4,"Mexico","China",2015,7.31,77.2165955
10,5,"Mexico","Brazil",2015,443.3753,12710.4825
10,6,"Mexico","India",2015,20.01,127.69277855
10,7,"Mexico","Canada",2015,-100.094620696127,1149.82372543353
10,8,"Mexico","Korea, Republic of",2015,29.20053,155.4822113
10,9,"Mexico","Russian Federation",2015,13.56991,16.98
10,10,"Mexico","Mexico",2015,0,0
10,11,"Mexico","South Africa",2015,0,6.3686073
11,1,"South Africa","United States",2015,1893,3625.79993567063
11,2,"South Africa","Europe",2015,1099.13798081511,31511.7310501263
11,3,"South Africa","Japan",2015,-0.53823389720253,11.7181370375659
11,4,"South Africa","China",2015,1.98,31908.0889099101
11,5,"South Africa","Brazil",2015,-18.064,593.047910823416
11,6,"South Africa","India",2015,82.05,296.295760458588
11,7,"South Africa","Canada",2015,0,959.60543415815
11,8,"South Africa","Korea, Republic of",2015,-9.5298247,4.61018613367642
11,9,"South Africa","Russian Federation",2015,-0.20852,897.4522081055
11,10,"South Africa","Mexico",2015,3.00552,16.9625378
11,11,"South Africa","South Africa",2015,0,0
